algorithm	source	category	state_location	elsa_use	implementation_status	priority
Gradient Descent / Batch GD	IC613_lec02_SGD_and_variants-v2 p.8,p.17	non_fl_optimizer_foundation	central_or_single_client	Optimizer/control baseline only; not a federated method.	reference_only	low
Stochastic Gradient Descent	IC613_lec02_SGD_and_variants-v2 p.19,p.21	non_fl_optimizer_foundation	client_optimizer	FedAvg/FedProx local trainer uses this family; tune LR/batch before blaming FL.	already_via_torch_optim	medium
Mini-batch SGD	IC613_lec02_SGD_and_variants-v2 p.2,p.22-p.26	non_fl_optimizer_foundation	client_optimizer	Batch size controls local drift/noise; log num_batches and local_steps.	already_telemetry_added	high
Momentum SGD / Nesterov	IC613_lec02_SGD_and_variants-v2 p.31-p.35	non_fl_optimizer_foundation	client_optimizer	Useful local optimizer ablation, but can amplify client drift in heterogeneous envs.	not_separate_fl_method	medium
AdaGrad	IC613_lec02_SGD_and_variants-v2 p.38-p.42	non_fl_optimizer_foundation	client_optimizer	Can stabilize sparse/action head updates; not a primary FL contribution.	not_separate_fl_method	low
Adam	IC613_lec02_SGD_and_variants-v2 p.43,p.45	non_fl_optimizer_foundation	client_optimizer	Default deep local optimizer candidate; compare with SGD only if FL result is unstable.	already_via_torch_optim	medium
SAG	IC613_lec04_SGD_Convergence_Analysis_2 p.30-p.31	variance_reduction_foundation	client_gradient_memory	Conceptual basis for FedVARP-style memory; not practical for raw trajectory batches.	reference_only	low
SAGA	IC613_lec04_SGD_Convergence_Analysis_2 p.32	variance_reduction_foundation	client_or_server_memory	Conceptual basis for FedVARP client-participation variance reduction.	reference_only	medium
SVRG	IC613_lec04_SGD_Convergence_Analysis_2 p.33-p.34	variance_reduction_foundation	snapshot_gradient_memory	Useful analogy for periodic global snapshot vs local drift.	reference_only	low
FedSGD	IC613_lec06_Federated_Learning_-_Heterogeneity p.17-p.19	server_aggregation_only	server	Too communication-heavy; use only as conceptual limit of FedAvg with E=1.	not_implemented	low
FedAvg	IC613_lec05_Federated_Learning_Intro_1_ p.25-p.30	server_aggregation_only	server	Core baseline; Flower-like model averaging with no persistent client state.	implemented	high
FedAvg with server learning rate	IC613_lec06_Federated_Learning_-_Heterogeneity p.40	server_update_only	server	Small change to server delta step; useful before complex methods.	partial_via_blueprint	high
FedExp	IC613_lec06_Federated_Learning_-_Heterogeneity p.42-p.47; IC613_lec07 p.21-p.26	server_update_only_or_telemetry	server	Adaptive server LR for unstable shared trunk aggregation.	blueprint_only	high
FedProx	IC613_lec06_Federated_Learning_-_Heterogeneity p.29-p.31; IC613_lec07 p.13	client_local_objective	client_objective_with_server_anchor	Primary drift baseline for different cameras/tasks/controllers.	implemented	high
SCAFFOLD	IC613_lec06_Federated_Learning_-_Heterogeneity p.35-p.38; IC613_lec07 p.15	client_server_control_variate	client_and_server_state	Client-drift correction stronger than FedProx; needs control variate tensors.	not_implemented	medium
Generalized FedAvg update	IC613_lec07_Federated_Learning_-_Heterogeneity_2 p.40-p.48	server_client_contract	server_with_client_delta_metadata	Framework for FedAvg/FedProx/FedNova; use as code abstraction for strategies.	partially_supported	high
FedNova	IC613_lec07_Federated_Learning_-_Heterogeneity_2 p.49-p.52; IC613_lec08 p.24-p.27	server_aggregation_plus_client_telemetry	server_uses_local_steps	Corrects objective inconsistency when clients run different local steps/epochs.	telemetry_ready_not_strategy	high
FedVARP	IC613_lec08_Federated_Learning_-_Heterogeneity_3_and_partial_selection p.36-p.39; IC613_lec09 p.16-p.19	server_memory_variance_reduction	server_client_update_memory	Reduces partial-participation variance; useful after client sampling becomes bottleneck.	not_implemented	medium
Partial participation / client fraction C	IC613_lec05_Federated_Learning_Intro_1_ p.28; IC613_lec08 p.30-p.33	client_selection_policy	server_sampler	Directly relevant if Ralph/ELSA envs cannot all train every round.	flower_sampling_existing	high
Power-of-Choice	IC613_lec08_Federated_Learning_-_Heterogeneity_3_and_partial_selection p.44; IC613_lec09 p.24; IC613_lec10 p.6	client_selection_policy	server_sampler_with_loss_probe	Select high-loss candidates to improve hard-env progress; can bias fairness.	not_implemented	medium
Agnostic Federated Learning	IC613_lec10_Federated_Learning_-_fairness p.18-p.23; IC613_lec11 p.3-p.4	fair_server_objective	server_dual_weights_lambda	Minimize worst-domain risk; good when one env consistently fails gripper transition.	blueprint_only	high
q-FFL objective	IC613_lec10_Federated_Learning_-_fairness p.25-p.28; IC613_lec11 p.5-p.8	fair_server_objective	server_uses_client_loss_and_delta	Continuous fairness knob between average and worst-client objective.	blueprint_only	high
q-FedSGD	_2020_ICLR__q-ffl p.5	fair_server_objective	server_uses_client_loss	Conceptual q-FFL solver; too communication-heavy for robotics.	reference_only	low
q-FedAvg	IC613_lec10_Federated_Learning_-_fairness p.27-p.28; _2020_ICLR__q-ffl p.6	server_aggregation_plus_client_telemetry	server_uses_loss_delta_norm	Practical fairness strategy once per-client loss telemetry is stable.	telemetry_ready_not_strategy	high
MaxFL / participation incentives	IC613_lec10_Federated_Learning_-_fairness p.41-p.42; IC613_lec11 p.19-p.20	fair_server_objective	server_uses_client_gain_or_loss	Can formalize whether each env benefits from global FL vs local-only.	blueprint_only	medium
Global-only personalized FL baseline	IC613_lec11_Federated_Learning_-_personalization_1 p.12-p.26	client_local_pers_eval	server_global_only	Baseline: one global model for all envs.	implemented_as_fedavg_fedprox	high
Local-only baseline	IC613_lec11_Federated_Learning_-_personalization_1 p.12-p.26	client_local_pers_eval	client_only	Needed to prove FL helps; train env-specific policy/head only.	manual_possible	high
Global plus local fine-tuning	IC613_lec11_Federated_Learning_-_personalization_1 p.12-p.26	client_local_pers_eval	client_adaptation_after_global	Use for adaptation/eval after global pretraining.	partial_via_local_state	high
Ditto	IC613_lec11_Federated_Learning_-_personalization_1 p.27-p.29; IC613_lec12 p.7-p.9	client_local_persistent_state	global_model_plus_local_model	Strong personalized FL baseline; global shared model plus local policy/head.	not_implemented	medium
Client clustering / model-based clustering	IC613_lec11_Federated_Learning_-_personalization_1 p.33-p.36; IC613_lec12 p.13-p.16	client_local_persistent_state	cluster_models_on_server_or_client	Group envs by visual/controller regime; train cluster-specific heads/models.	not_implemented	medium
HyperCluster / three personalized approaches	IC613_lec11_Federated_Learning_-_personalization_1 p.37; IC613_lec12 p.46	client_local_persistent_state	cluster_or_hypernetwork_state	Useful later if env/task descriptors predict personalized adapters.	reference_only	low
Meta learning	IC613_lec12_Federated_Learning_-_personalization_2 p.18-p.21; IC613_lec13 p.7-p.10	client_local_adaptation	client_inner_loop	Per-FedAvg/MAML-style fast adaptation to new object/camera/env.	not_implemented	medium
Per-FedAvg	IC613_lec12_Federated_Learning_-_personalization_2 p.20-p.21; IC613_lec13 p.9-p.10	client_local_adaptation	client_inner_loop_plus_server_init	Initialize policy for quick per-env adaptation; heavier than FedPer.	not_implemented	medium
Multi-task learning	IC613_lec12_Federated_Learning_-_personalization_2 p.23,p.46; IC613_lec13 p.12	multitask_architecture	shared_and_task_specific_params	Map env/task to shared VolumeDP trunk plus local/controller heads.	partial_via_parameter_surfaces	high
Hard parameter sharing / shared trunk	IC613_lec13_Federated_Learning_-_personalization_3 p.12-p.25	multitask_architecture	shared_body_local_heads	Matches current FedPer-style split.	implemented_as_fedper_head	high
Soft parameter sharing / anchor regularization	IC613_lec13_Federated_Learning_-_personalization_3 p.15-p.35	client_local_regularized_models	client_models_regularized_to_anchor	Generalizes FedProx/Ditto for local adapters.	partial_via_fedprox	medium
Multi-gate Mixture-of-Experts	IC613_lec12_Federated_Learning_-_personalization_2 p.36-p.39; IC613_lec13 p.25-p.35	multitask_architecture	server_shared_experts_client_task_gates	Use env/task-conditioned gates for diffusion/action heads; architecture-heavy.	not_implemented	low
MGDA / multi-objective optimization	IC613_lec12_Federated_Learning_-_personalization_2 p.39; IC613_lec13 p.35	multitask_local_gradient_aggregation	client_or_server_gradient_combiner	Balance action loss, gripper event BCE, diffusion loss without one dominating.	not_implemented	medium
Model merging	IC613_lec13_Federated_Learning_-_personalization_3 p.36; IC613_lec14 p.14	model_fusion_or_analysis	server_or_offline_merge	Analyze env-specific LoRA/head deltas; possible one-shot fusion baseline.	not_implemented	medium
